train_loss,epoch,step,validation_loss,test_loss
1.1365529298782349,0,49,,
0.46351709961891174,0,99,,
,0,99,0.686413049697876,
0.4789281189441681,1,149,,
0.4433360993862152,1,199,,
,1,199,0.4681391716003418,
0.380282998085022,2,249,,
0.393486350774765,2,299,,
,2,299,0.3870895206928253,
0.3453044295310974,3,349,,
0.3308921456336975,3,399,,
,3,399,0.34860125184059143,
0.3586309850215912,4,449,,
0.404300332069397,4,499,,
,4,499,0.3295839726924896,
0.2048921436071396,5,549,,
0.15009738504886627,5,599,,
,5,599,0.31561046838760376,
0.21163755655288696,6,649,,
0.34451597929000854,6,699,,
,6,699,0.29586368799209595,
0.2689554691314697,7,749,,
0.2398395836353302,7,799,,
,7,799,0.2800633907318115,
0.19492970407009125,8,849,,
0.5520269870758057,8,899,,
,8,899,0.28663820028305054,
0.27064061164855957,9,949,,
0.3781675100326538,9,999,,
,9,999,0.2657684087753296,
0.18011486530303955,10,1049,,
0.3263881206512451,10,1099,,
,10,1099,0.2584898769855499,
0.19129836559295654,11,1149,,
0.2526106536388397,11,1199,,
,11,1199,0.2614956498146057,
0.3827712833881378,12,1249,,
0.20539522171020508,12,1299,,
,12,1299,0.2412298023700714,
0.10517439991235733,13,1349,,
0.10011664032936096,13,1399,,
,13,1399,0.2414960265159607,
0.15733015537261963,14,1449,,
0.1901191622018814,14,1499,,
,14,1499,0.23849382996559143,
0.07151572406291962,15,1549,,
0.34156835079193115,15,1599,,
,15,1599,0.23448047041893005,
0.08757592737674713,16,1649,,
0.35330140590667725,16,1699,,
,16,1699,0.2256312072277069,
0.07693023979663849,17,1749,,
0.07120130211114883,17,1799,,
,17,1799,0.2195027768611908,
0.12239669263362885,18,1849,,
0.3508608937263489,18,1899,,
,18,1899,0.21597839891910553,
0.3474867045879364,19,1949,,
0.17148303985595703,19,1999,,
,19,1999,0.20622336864471436,
0.1485469788312912,20,2049,,
0.2954728305339813,20,2099,,
,20,2099,0.21488019824028015,
0.388593852519989,21,2149,,
0.3976188004016876,21,2199,,
,21,2199,0.2007416933774948,
0.15451054275035858,22,2249,,
0.07399791479110718,22,2299,,
,22,2299,0.20627935230731964,
0.2920679748058319,23,2349,,
0.32350125908851624,23,2399,,
,23,2399,0.19112402200698853,
0.1173814982175827,24,2449,,
0.37939560413360596,24,2499,,
,24,2499,0.1941959708929062,
0.049571748822927475,25,2549,,
0.1380028873682022,25,2599,,
,25,2599,0.18214763700962067,
0.05718766525387764,26,2649,,
0.055985793471336365,26,2699,,
,26,2699,0.18937119841575623,
0.18666712939739227,27,2749,,
0.32719719409942627,27,2799,,
,27,2799,0.17678190767765045,
0.11705925315618515,28,2849,,
0.16628748178482056,28,2899,,
,28,2899,0.17382362484931946,
0.23017719388008118,29,2949,,
0.12792855501174927,29,2999,,
,29,2999,0.17669694125652313,
0.11962784826755524,30,3049,,
0.1518748700618744,30,3099,,
,30,3099,0.17396491765975952,
0.0888807624578476,31,3149,,
0.06866207718849182,31,3199,,
,31,3199,0.16730743646621704,
0.07077854126691818,32,3249,,
0.11784129589796066,32,3299,,
,32,3299,0.17419445514678955,
0.17471912503242493,33,3349,,
0.0430506095290184,33,3399,,
,33,3399,0.16550128161907196,
0.16966211795806885,34,3449,,
0.012582977302372456,34,3499,,
,34,3499,0.16435468196868896,
0.15246783196926117,35,3549,,
0.16729636490345,35,3599,,
,35,3599,0.15959981083869934,
0.06220930814743042,36,3649,,
0.08875712007284164,36,3699,,
,36,3699,0.15885160863399506,
0.2242342084646225,37,3749,,
0.17009565234184265,37,3799,,
,37,3799,0.15901198983192444,
0.09649914503097534,38,3849,,
0.20682859420776367,38,3899,,
,38,3899,0.1505405753850937,
0.18409158289432526,39,3949,,
0.08300530165433884,39,3999,,
,39,3999,0.14979617297649384,
0.11732220649719238,40,4049,,
0.11395954340696335,40,4099,,
,40,4099,0.15259027481079102,
0.18944954872131348,41,4149,,
0.11729405075311661,41,4199,,
,41,4199,0.14790666103363037,
0.05748877301812172,42,4249,,
0.15175199508666992,42,4299,,
,42,4299,0.1414927989244461,
0.06995448470115662,43,4349,,
0.1195141077041626,43,4399,,
,43,4399,0.14523941278457642,
0.09156432747840881,44,4449,,
0.16558457911014557,44,4499,,
,44,4499,0.1434275507926941,
0.06945478916168213,45,4549,,
0.06122616305947304,45,4599,,
,45,4599,0.14840662479400635,
0.12824538350105286,46,4649,,
0.10956849902868271,46,4699,,
,46,4699,0.14668793976306915,
0.24167801439762115,47,4749,,
0.23872168362140656,47,4799,,
,47,4799,0.14269477128982544,
0.3070653975009918,48,4849,,
0.15911509096622467,48,4899,,
,48,4899,0.1359073370695114,
0.07588286697864532,49,4949,,
0.22313453257083893,49,4999,,
,49,4999,0.13804440200328827,
0.3041265904903412,50,5049,,
0.2802877128124237,50,5099,,
,50,5099,0.14589723944664001,
0.05201556161046028,51,5149,,
0.0172601155936718,51,5199,,
,51,5199,0.1358143538236618,
0.24178794026374817,52,5249,,
0.03824286162853241,52,5299,,
,52,5299,0.14188306033611298,
0.12374334782361984,53,5349,,
0.2230522632598877,53,5399,,
,53,5399,0.13478989899158478,
0.03335978835821152,54,5449,,
0.1175839826464653,54,5499,,
,54,5499,0.12917876243591309,
0.059915777295827866,55,5549,,
0.12864573299884796,55,5599,,
,55,5599,0.13242214918136597,
0.0305399801582098,56,5649,,
0.05996552109718323,56,5699,,
,56,5699,0.13076186180114746,
0.1041923314332962,57,5749,,
0.10894931852817535,57,5799,,
,57,5799,0.13259050250053406,
0.015235833823680878,58,5849,,
0.061417654156684875,58,5899,,
,58,5899,0.1273377537727356,
0.09100230783224106,59,5949,,
0.06005174294114113,59,5999,,
,59,5999,0.1250610053539276,
0.2966327369213104,60,6049,,
0.11745161563158035,60,6099,,
,60,6099,0.11975061148405075,
0.008743795566260815,61,6149,,
0.0574965737760067,61,6199,,
,61,6199,0.1299179494380951,
0.14894066751003265,62,6249,,
0.01347245555371046,62,6299,,
,62,6299,0.11936375498771667,
0.09376131743192673,63,6349,,
0.17047293484210968,63,6399,,
,63,6399,0.13201315701007843,
0.28718507289886475,64,6449,,
0.08504500240087509,64,6499,,
,64,6499,0.1186082661151886,
0.031705647706985474,65,6549,,
0.11882627010345459,65,6599,,
,65,6599,0.11988329142332077,
0.26375192403793335,66,6649,,
0.19488082826137543,66,6699,,
,66,6699,0.11601291596889496,
0.13749505579471588,67,6749,,
0.0038649742491543293,67,6799,,
,67,6799,0.1186048835515976,
0.05152446776628494,68,6849,,
0.012001970782876015,68,6899,,
,68,6899,0.11464565247297287,
0.12485023587942123,69,6949,,
0.05062120407819748,69,6999,,
,69,6999,0.11804462969303131,
0.02955726906657219,70,7049,,
0.07899016886949539,70,7099,,
,70,7099,0.11427710950374603,
0.4352617859840393,71,7149,,
0.04436180740594864,71,7199,,
,71,7199,0.1149672269821167,
0.218628391623497,72,7249,,
0.11568900942802429,72,7299,,
,72,7299,0.11938048154115677,
0.06288648396730423,73,7349,,
0.15417036414146423,73,7399,,
,73,7399,0.11213403195142746,
0.10510315746068954,74,7449,,
0.05316328629851341,74,7499,,
,74,7499,0.10945618897676468,
0.0827096626162529,75,7549,,
0.184811070561409,75,7599,,
,75,7599,0.12079371511936188,
0.18113704025745392,76,7649,,
0.03535011410713196,76,7699,,
,76,7699,0.1138005405664444,
0.1673707216978073,77,7749,,
0.009444593451917171,77,7799,,
,77,7799,0.11597679555416107,
0.15966986119747162,78,7849,,
0.12421749532222748,78,7899,,
,78,7899,0.10601621121168137,
0.029005005955696106,79,7949,,
0.03506731986999512,79,7999,,
,79,7999,0.11098222434520721,
0.12727876007556915,80,8049,,
0.28063103556632996,80,8099,,
,80,8099,0.10955782234668732,
0.1504756361246109,81,8149,,
0.14997243881225586,81,8199,,
,81,8199,0.1174539178609848,
0.2303944230079651,82,8249,,
0.09935138374567032,82,8299,,
,82,8299,0.11240174621343613,
0.12025204300880432,83,8349,,
0.010006152093410492,83,8399,,
,83,8399,0.1133851408958435,
0.02660602144896984,84,8449,,
0.014622485265135765,84,8499,,
,84,8499,0.10938344895839691,
0.038312770426273346,85,8549,,
0.110837921500206,85,8599,,
,85,8599,0.11062274128198624,
0.019292064011096954,86,8649,,
0.10707906633615494,86,8699,,
,86,8699,0.11476530879735947,
0.04882354661822319,87,8749,,
0.09830429404973984,87,8799,,
,87,8799,0.10695357620716095,
0.011484233662486076,88,8849,,
0.041456662118434906,88,8899,,
,88,8899,0.10452169179916382,
0.04871238395571709,89,8949,,
0.15788935124874115,89,8999,,
,89,8999,0.10701235383749008,
0.005524667911231518,90,9049,,
0.08307626098394394,90,9099,,
,90,9099,0.10542149841785431,
0.0333998017013073,91,9149,,
0.028515290468931198,91,9199,,
,91,9199,0.105162613093853,
0.030163444578647614,92,9249,,
0.05032170191407204,92,9299,,
,92,9299,0.11274954676628113,
0.03469958156347275,93,9349,,
0.11104956269264221,93,9399,,
,93,9399,0.11005521565675735,
0.04306420311331749,94,9449,,
0.06164691597223282,94,9499,,
,94,9499,0.11528293788433075,
0.010921820998191833,95,9549,,
0.01832243800163269,95,9599,,
,95,9599,0.10363830626010895,
0.07913673669099808,96,9649,,
0.024872208014130592,96,9699,,
,96,9699,0.1050785556435585,
0.01821259967982769,97,9749,,
0.02215796336531639,97,9799,,
,97,9799,0.10499842464923859,
0.020798029378056526,98,9849,,
0.06109223514795303,98,9899,,
,98,9899,0.10241737961769104,
0.044791292399168015,99,9949,,
0.0804651752114296,99,9999,,
,99,9999,0.10913946479558945,
0.0490645095705986,100,10049,,
0.007265621796250343,100,10099,,
,100,10099,0.1077587679028511,
0.12840299308300018,101,10149,,
0.17685699462890625,101,10199,,
,101,10199,0.10251657664775848,
0.3259853422641754,102,10249,,
0.1521739959716797,102,10299,,
,102,10299,0.1064840704202652,
0.3339119255542755,103,10349,,
0.009617490693926811,103,10399,,
,103,10399,0.10553824156522751,
0.10025861859321594,104,10449,,
0.02381104603409767,104,10499,,
,104,10499,0.10003271698951721,
0.015470600686967373,105,10549,,
0.011521972715854645,105,10599,,
,105,10599,0.10648766160011292,
0.18425627052783966,106,10649,,
0.015139714814722538,106,10699,,
,106,10699,0.10197067260742188,
0.06583738327026367,107,10749,,
0.044712889939546585,107,10799,,
,107,10799,0.10753417015075684,
0.012471381574869156,108,10849,,
0.012218783609569073,108,10899,,
,108,10899,0.10325414687395096,
0.24465464055538177,109,10949,,
0.020294440910220146,109,10999,,
,109,10999,0.10410796850919724,
0.02538871578872204,110,11049,,
0.02802993170917034,110,11099,,
,110,11099,0.10486314445734024,
0.06677714735269547,111,11149,,
0.05176417529582977,111,11199,,
,111,11199,0.12165185809135437,
0.030792944133281708,112,11249,,
0.017723802477121353,112,11299,,
,112,11299,0.09971282631158829,
